ID	Domain	Phylum	Class	Order	Family	Genus	Species	score	completeness	contamination	strain_heterogeneity	size	N50	cluster_members
Gp_EAB_430	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Ruminococcus_C	s__Ruminococcus_C sp900545285	96.44176374435006	94.15	0	0	1960620	38329	1
Gp_EAB_458	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Propionibacteriales	f__Propionibacteriaceae	g__Arachnia	s__Arachnia sp905372155	15.660386518734537	59.28	9.92	44.12	2655181	1612	1
Gp_EAB_462	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Lawsonella	s__	21.810280840097622	53.1	6.59	0	2942797	2092	1
Gp_EAB_5	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus_C	s__Enterococcus_C asini	97.32106055	98	0.69	20	2477999	184553	1
Gp_EAB_50	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__CAG-74	g__Fimadaptatus	s__Fimadaptatus sp900553645	87.37131236580994	93.55	1.75	33.33	2786571	9464	1
Gp_EAB_55	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Eubacterium_R	s__Eubacterium_R sp900539325	101.19793582423456	98.66	0	0	1819834	119089	1
Gp_EAB_56	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Lactonifactor	s__Lactonifactor sp009677585	86.93469102040659	93.68	1.92	33.33	4077415	26885	1
Gp_EAB_73	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lactobacillus	s__Lactobacillus equicursoris	81.52428088082331	88.55	2.03	50	1701289	16541	1
Gp_EAB_75	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__Aphodocola	s__Aphodocola sp900547225	84.74467519964891	88.09	1.12	0	1037563	32311	1
Gp_EAB_77	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus_B	s__Enterococcus_B pernyi	92.30211303855634	97.52	1.72	50	2833233	110720	1
Gp_EAB_84	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Pauljensenia	s__Pauljensenia cardiffensis	79.28431118951265	85.72	1.82	40	1844598	7458	1
Gp_EAB_96	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__UBA1820	g__Merdimorpha	s__Merdimorpha sp003150615	98.80539045100281	96.69	0	0	1882115	17013	2
Gp_MJ1_1	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_C	g__Oligella	s__Oligella ureolytica	88.51815404770811	96.85	2.45	75	2225640	14498	1
Gp_MJ1_106	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Marvinbryantia	s__Marvinbryantia sp900066075	86.95915317279038	91.69	1.48	33.33	2887594	22477	1
Gp_MJ1_111	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Anaerobutyricum	s__Anaerobutyricum stercoripullorum	66.99027051443122	71.93	1.75	100	2227148	13199	1
Gp_MJ1_113	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__43-108	s__43-108 sp001915545	93.61221749901594	92.47	0.23	50	3080625	22617	1
Gp_MJ1_12	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Dorea_A	s__Dorea_A longicatena	65.5822716825559	79.13	3.61	73.33	2425671	5130	1
Gp_MJ1_124	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__F23-B02	s__F23-B02 sp001916715	89.94265383235529	90.94	0.67	0	1936371	50735	1
Gp_MJ1_129	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Blautia_A	s__Blautia_A luti	44.50880134584504	56.49	3.51	100	1921334	13110	1
Gp_MJ1_141	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Actinomyces	s__Actinomyces dentalis	53.278522936213655	61.47	2.21	50	2407787	3214	1
Gp_MJ1_149	d__Bacteria	p__Bacillota_A	c__Clostridia	o__TANB77	f__CAG-465	g__CAG-465	s__CAG-465 sp000433755	74.39905933575695	79	1.4	0	1534742	62823	1
Gp_MJ1_155	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Ruminococcus	s__Ruminococcus sp002438605	99.6402953710956	97.32	0	0	2119294	43711	1
Gp_MJ1_170	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Coprobacillaceae	g__Catenibacterium	s__Catenibacterium mitsuokai	102.18517325975563	100	0	0	2269499	23461	1
Gp_MJ1_174	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Tannerellaceae	g__Parabacteroides	s__Parabacteroides faecavium	75.63566208032293	83.04	2.03	36.36	3019249	10354	2
Gp_MJ1_180	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Pauljensenia	s__Pauljensenia bouchesdurhonensis	65.11104286071793	63.26	0	0	1789221	5036	1
Gp_MJ1_224	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Cardiobacteriales	f__Wohlfahrtiimonadaceae	g__Ignatzschineria	s__	102.35602830231072	99.71	0	0	3012539	195910	1
Gp_MJ1_260	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Faecalicoccus	s__Faecalicoccus pleomorphus	90.52268071834892	97.44	2.02	33.33	2043968	104431	2
Gp_MJ1_272	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Longicatena	s__Longicatena caecimuris	102.45287366149543	100	0	0	2809903	80491	1
Gp_MJ1_29	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Faecousia	s__Faecousia sp000435995	90.018133798205	95.96	1.81	50	2624712	25484	2
Gp_MJ1_294	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Lawsonibacter	s__Lawsonibacter sp900545895	47.5582218815695	52.59	1.72	100	2085042	4971	1
Gp_MJ1_296	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Tannerellaceae	g__Parabacteroides	s__Parabacteroides bouchesdurhonensis	86.82205849458175	91.17	1.41	40	3004019	18885	2
Gp_MJ1_324	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Limosilactobacillus	s__Limosilactobacillus reuteri	102.0412287260078	99.45	0	0	2032667	152215	2
Gp_MJ1_329	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus mutans	95.25617612045342	95.36	0.56	100	1818498	18722	1
Gp_MJ1_33	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Tissierellales	f__Peptoniphilaceae	g__Neofamilia	s__Neofamilia sp012513395	95.8841635992338	95.62	0.35	0	2260369	10674	1
Gp_MJ1_342	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Psychrobacter	s__Psychrobacter pasteurii	99.76529549898657	98.9	0.3	50	2689386	26952	1
Gp_MJ1_360	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Weissella	s__Weissella confusa	96.7473137162057	96.93	0.61	100	1962120	32706	1
Gp_MJ1_361	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Clostridium sp900539375	100.81470408082629	99.17	0.16	0	2727866	77519	2
Gp_MJ1_403	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Blautia	s__Blautia merdigallinarum	39.08452013435173	51.25	3.51	100	2472674	5611	1
Gp_MJ1_444	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Blautia_A	s__Blautia_A sp003477525	43.09701563386386	50.06	1.75	0	3344043	3750	1
Gp_MJ1_451	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides cutis	38.292878018922046	67.66	6.58	25	3460666	5967	1
Gp_MJ1_71	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Anaerobutyricum	s__Anaerobutyricum stercoris	73.6549545850454	82.92	2.68	80	2723560	9592	1
Gp_MJ2_1	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Gemmiger	s__Gemmiger sp905214345	65.34018356432824	63.39	0	0	2106815	7950	1
Gp_MJ2_10	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides nordii	87.81639376759918	87.15	0.37	100	4672565	19624	2
Gp_MJ2_113	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides clarus	77.7078464591009	94.29	3.92	25	5105418	11904	1
Gp_MJ2_133	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Peptostreptococcales	f__Peptostreptococcaceae	g__Peptostreptococcus	s__Peptostreptococcus stomatis	93.8264606056666	91.61	0	0	1596858	27097	1
Gp_MJ2_136	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Blautia	s__Blautia sp000432195	99.27281548501728	96.84	0	0	2970838	73389	1
Gp_MJ2_143	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Enorma	s__	81.46335829426978	92.25	2.82	40	1993310	23481	1
Gp_MJ2_144	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Akkermansiaceae	g__Akkermansia	s__Akkermansia sp900545155	95.7381035125475	96.6	0.68	0	3169517	119181	2
Gp_MJ2_145	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Eisenbergiella	s__Eisenbergiella sp900539715	97.57632894562045	95.99	0.19	0	2477168	118211	1
Gp_MJ2_169	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__Paramuribaculum	s__Paramuribaculum sp900759915	98.7349054475463	98.11	0.38	0	2464202	112153	1
Gp_MJ2_193	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__Christensenellaceae	g__Christensenella	s__Christensenella hongkongensis	85.71917293813493	95.07	2.47	40	2596765	10528	1
Gp_MJ2_228	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_A	g__Sutterella	s__Sutterella merdavium	93.48171447728859	97.38	1.25	0	2494816	50516	1
Gp_MJ2_236	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Scatomorpha	s__	91.54867122629341	94.27	1.07	33.33	2760076	35001	1
Gp_MJ2_247	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__	s__	58.00273429256591	56.03	0	0	1453131	8820	1
Gp_MJ2_253	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Eubacterium_F	s__Eubacterium_F sp003491505	98.99920481676888	96.98	0.02	100	2544475	15791	2
Gp_MJ2_262	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides sp900555635	48.55433485086019	55.17	1.72	0	4707103	9304	1
Gp_MJ2_271	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola sp900542985	88.33854178285425	91.33	1.21	60	2949205	46247	1
Gp_MJ2_287	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__RUG420	s__RUG420 sp900542575	96.01126497649359	97.87	0.85	0	2940602	60608	1
Gp_MJ2_302	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Peptostreptococcales	f__Anaerovoracaceae	g__Eubacterium_B	s__Eubacterium_B sulci	42.56013583027103	50.13	2.25	80	780697	5758	1
Gp_MJ2_304	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__	49.59919470383265	56.38	1.72	0	2320344	4349	1
Gp_MJ2_318	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Coprobacillaceae	g__Thomasclavelia	s__Thomasclavelia spiroformis	60.498657636556004	63.43	0.94	0	1668833	3446	1
Gp_MJ2_32	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium_J	s__Clostridium_J culturomicium	85.80291084682989	96.45	2.76	14.29	4338647	328862	1
Gp_MJ2_325	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Ruminococcus_C	s__Ruminococcus_C sp019417665	89.37808325006597	88.75	0.34	100	2165848	9466	1
Gp_MJ2_33	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__UBA7173	s__UBA7173 sp900548705	97.78752265376669	97.17	0.38	0	2729333	108404	1
Gp_MJ2_342	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella	s__Prevotella sp000436595	66.1026662181469	78.07	2.93	17.65	2884311	21431	1
Gp_MJ2_349	d__Bacteria	p__Fusobacteriota	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium_A	s__Fusobacterium_A sp900555485	77.6169619021718	86.26	2.53	66.67	2777551	43694	1
Gp_MJ2_40	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Weissella	s__Weissella paramesenteroides	100.43246906355844	99.19	0.31	100	1908336	92244	1
Gp_MJ2_57	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Clostridium sp000435835	45.4936067203905	75.86	7.76	83.33	2756358	8598	1
Gp_MJ2_63	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter	s__Acinetobacter variabilis	51.98383651588329	57.05	1.72	100	2058822	4243	1
Gp_MJ2_69	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus gordonii	87.06829983764456	93.13	2	90.91	1932413	17386	2
Gp_MJ2_79	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Butyricicoccaceae	g__Pseudobutyricicoccus	s__Pseudobutyricicoccus sp003477405	63.90241497057155	62.07	0	0	1007699	4622	1
Gp_MJ2_87	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Anaeromassilibacillus	s__Anaeromassilibacillus stercoravium	98.25658547403248	96.1	0	0	2606786	20567	1
Gp_MJ2_88	d__Bacteria	p__Bacillota_C	c__Negativicutes	o__Selenomonadales	f__Selenomonadaceae	g__Anaerovibrio	s__Anaerovibrio sp900548165	94.2847237711777	99.66	1.52	0	2018707	28148	1
Gp_MJ3_108	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__UBA1820	g__Merdimorpha	s__Merdimorpha sp002314265	94.45974824393154	93.98	0.37	100	1732239	8308	1
Gp_MJ3_116	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Peptostreptococcales	f__Peptostreptococcaceae	g__Intestinibacter	s__Intestinibacter sp900540355	68.45394632241641	66.38	0	0	2417286	14057	1
Gp_MJ3_158	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Limivivens	s__Limivivens sp905214955	94.76957157107556	93.35	0.16	0	2932926	27488	1
Gp_MJ3_204	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Marvinbryantia	s__Marvinbryantia shaoxingensis	87.17762821252661	92.12	1.42	0	2738607	20666	1
Gp_MJ3_216	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Limosilactobacillus	s__Limosilactobacillus oris	87.38230439806328	93.65	1.84	50	1653143	10583	1
Gp_MJ3_223	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Muricomes	s__Muricomes sp000509105	67.40218480036488	81.27	3.61	62.5	3585944	7110	1
Gp_MJ3_235	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Peptostreptococcales	f__Anaerovoracaceae	g__Zhenpiania	s__Zhenpiania massiliensis	90.8164194223032	92.72	0.85	33.33	3678504	13373	1
Gp_MJ3_238	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Carnobacteriaceae	g__Atopostipes	s__	8.935792968183804	51.04	8.88	6.25	1319438	3031	1
Gp_MJ3_263	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Vagococcaceae	g__Vagococcus	s__	83.41476816129655	92.78	2.65	60	2544559	38863	1
Gp_MJ3_289	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Sarcina	s__Sarcina ventriculi	97.5577608603039	96.57	0.27	0	2408044	47372	1
Gp_MJ3_301	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Dielma	s__Dielma fastidiosa	80.73909383067947	88.68	1.98	0	2974663	8283	2
Gp_MJ3_303	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Propionibacteriales	f__Propionibacteriaceae	g__Microlunatus	s__	54.610235860690814	84.2	6.54	18.75	5786093	5861	1
Gp_MJ3_31	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Coprococcus_A	s__Coprococcus_A catus	45.887688747139556	52.58	1.75	0	1521872	13043	1
Gp_MJ3_324	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Carnobacteriaceae	g__Atopococcus	s__	86.01273396824716	87.43	0.82	50	1379143	35113	1
Gp_MJ3_328	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Peptostreptococcales	f__Anaerovoracaceae	g__Lentihominibacter	s__	97.9446499954168	96.08	0.07	0	1586799	26872	1
Gp_MJ3_345	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Clostridium_Q	s__Clostridium_Q symbiosum	98.127249205414	97.02	0.23	50	4316660	19253	2
