	MAG	Group	Effect	p_value
50	Mediterraneibacter lactaris	CvsL	-0.414162982	0.001642442621676
51	Alistipes communis	CvsL	0.318194441522692	0.0241418252867955
52	ER4 sp003522105	CvsL	0.284716388484539	0.00780936653311166
53	CAG-177 sp000431775	CvsL	0.410772927723868	9.8870125930049e-05
54	Vescimonas sp900545495	CvsL	0.484444013185057	8.80724116027587e-07
55	Bacteroides fragilis	CvsL	0.3196638929235	0.00829811476922791
56	Bacteroides eggerthii	CvsL	0.33531289790469	0.0147930754438929
57	Vescimonas sp900545585	CvsL	0.452203448923294	0.000484460245419198
58	Alistipes shahii	CvsL	0.299714867555023	0.0233063416873415
59	CAG-170 sp002404795	CvsL	0.496261581103522	3.88153480203647e-05
60	CAG-170 sp900548625	CvsL	0.595740092900975	5.44190667135842e-08
61	Vescimonas sp001916855	CvsL	0.455218708018771	2.5442781614049e-05
62	Parabacteroides goldsteinii	CvsL	0.349803284599286	0.00207408182959081
63	Desulfovibrio sp900556755	CvsL	0.385211034554261	0.00225308128492554
64	Faecousia sp000434635	CvsL	0.43862482897554	0.000137799065848949
65	CAG-170 sp900545925	CvsL	0.563255129000638	5.52390655844493e-07
66	Alistipes onderdonkii	CvsL	0.312285159099004	0.0110473309249347
67	Vescimonas sp000435975	CvsL	0.46301953822245	1.02543851861283e-05
68	Coprenecus sp944326235	CvsL	0.309960668162256	0.0401163142039047
69	Alistipes_A ihumii	CvsL	0.358024476014879	0.00773690524684705
70	CAG-170 sp000432135	CvsL	0.576844837920579	3.19988170469443e-07
71	Anaerobutyricum hallii	CvsY	-0.921333956	8.1020647942811e-15
72	Fusicatenibacter saccharivorans	CvsY	-0.940195397	1.64250207150201e-14
73	Anaerostipes hadrus	CvsY	-0.865605602	1.50533547328941e-13
74	Blautia_A massiliensis	CvsY	-1.035784574	0
75	Hominisplanchenecus faecis	CvsY	-0.736230128	6.85488762161023e-11
76	Oliverpabstia intestinalis	CvsY	-1.020326816	0
77	Blautia_A sp905209435	CvsY	-1.091239607	0
78	Mediterraneibacter faecis	CvsY	-0.870858053	5.36786935617305e-14
79	Blautia_A sp000436615	CvsY	-0.814325235	7.78129496330478e-13
80	Schaedlerella sp900066545	CvsY	-0.668434298	2.26139809792962e-10
81	Blautia_A wexlerae	CvsY	-1.169078589	0
82	Sg_K15_44	CvsY	-1.125853793	0
83	Blautia stercoris	CvsY	-0.937991111	1.39100334462453e-14
84	Faecalibacillus intestinalis	CvsY	-0.7663937	1.53804955711056e-10
85	Mediterraneibacter lactaris	CvsY	-0.76582536	5.56424487978423e-11
86	Alistipes communis	CvsY	0.676106825323845	4.09163818167419e-08
87	ER4 sp003522105	CvsY	0.567509109251751	5.86683083708138e-09
88	CAG-177 sp000431775	CvsY	0.559822189315761	6.21382597329295e-07
89	Vescimonas sp900545495	CvsY	0.720937711674243	6.98620852503836e-13
90	Bacteroides fragilis	CvsY	0.603085013314622	7.09822833250547e-08
91	Bacteroides eggerthii	CvsY	0.458385911453116	0.000293638534930998
92	Vescimonas sp900545585	CvsY	0.703232260215081	4.05164547293626e-12
93	Alistipes shahii	CvsY	0.846680714473327	1.75181832322965e-12
94	CAG-170 sp002404795	CvsY	0.648167493640916	1.28694544109435e-09
95	CAG-170 sp900548625	CvsY	0.704970774078348	1.53856309348505e-11
96	Vescimonas sp001916855	CvsY	0.638132423605562	7.0681403354186e-10
97	Parabacteroides goldsteinii	CvsY	0.667733431400296	2.45331125374628e-08
98	Desulfovibrio sp900556755	CvsY	0.874274330308545	1.03864303566939e-12
99	Faecousia sp000434635	CvsY	0.588574597744037	7.91112554486935e-10
100	CAG-170 sp900545925	CvsY	0.784890679221148	2.37932840066611e-13
101	Alistipes onderdonkii	CvsY	0.597658181705941	2.59086968103848e-08
102	Vescimonas sp000435975	CvsY	0.547787983168072	3.62424101686844e-09
103	Coprenecus sp944326235	CvsY	0.486758469498702	8.91104267150991e-06
104	Alistipes_A ihumii	CvsY	0.790351395086712	2.8652526528389e-10
105	CAG-170 sp000432135	CvsY	0.842097871096468	9.65237480008771e-14
106	Anaerobutyricum hallii	EvsY	-0.35739882	0.0112443943594221
107	Fusicatenibacter saccharivorans	EvsY	-0.381765135	0.00834697201959256
108	Anaerostipes hadrus	EvsY	-0.282511665	0.0327975640811179
109	Blautia_A massiliensis	EvsY	-0.377423872	0.00362986278542522
110	Hominisplanchenecus faecis	EvsY	-0.218408946	0.14861374362328
111	Oliverpabstia intestinalis	EvsY	-0.458395045	0.00281330611818211
112	Blautia_A sp905209435	EvsY	-0.557333579	0.000154699568419096
113	Mediterraneibacter faecis	EvsY	-0.340534865	0.0259313091173401
114	Blautia_A sp000436615	EvsY	-0.343982761	0.00477443373625406
115	Schaedlerella sp900066545	EvsY	-0.106251534	0.938925786298932
116	Blautia_A wexlerae	EvsY	-0.579862618	4.03213695056322e-05
117	Sg_K15_44	EvsY	-0.584251408	4.35876556669508e-05
118	Blautia stercoris	EvsY	-0.374966071	0.0110904426085186
119	Faecalibacillus intestinalis	EvsY	-0.301326229	0.0465482481655125
120	Mediterraneibacter lactaris	EvsY	-0.286464263	0.0670523368801134
121	Alistipes communis	EvsY	0.342151726615426	0.0394382706250773
122	ER4 sp003522105	EvsY	0.230514799122641	0.131000457253299
123	CAG-177 sp000431775	EvsY	0.180424116315069	0.481770328104457
124	Vescimonas sp900545495	EvsY	0.375203412912991	0.00221685408654465
125	Bacteroides fragilis	EvsY	0.257658126221994	0.0717150251957479
126	Bacteroides eggerthii	EvsY	0.130459770034381	0.76003154129265
127	Vescimonas sp900545585	EvsY	0.248439551244458	0.0246539933687283
128	Alistipes shahii	EvsY	0.387591458374615	0.0273749736161627
129	CAG-170 sp002404795	EvsY	0.295282558560521	0.0273955852446213
130	CAG-170 sp900548625	EvsY	0.262273083684425	0.0253406930120463
131	Vescimonas sp001916855	EvsY	0.3102811487596	0.0401302003602568
132	Parabacteroides goldsteinii	EvsY	0.262980582966757	0.06930230768799
133	Desulfovibrio sp900556755	EvsY	0.459242139104807	0.00417546106565591
134	Faecousia sp000434635	EvsY	0.139389805426717	0.222439644561069
135	CAG-170 sp900545925	EvsY	0.313426148028402	0.0131396351681472
136	Alistipes onderdonkii	EvsY	0.16248642484563	0.564099328225716
137	Vescimonas sp000435975	EvsY	0.0737186220290215	0.526348188180912
138	Coprenecus sp944326235	EvsY	0.0854233897779448	1
139	Alistipes_A ihumii	EvsY	0.297253728268557	0.0481174219733505
140	CAG-170 sp000432135	EvsY	0.257912347043444	0.0289208592313941
