"Genome"	"rRNA_5S"	"rRNA_16S"	"rRNA_23S"	"tRNA"	"pass_GUNC"	"Completeness"	"Contamination"	"Heterogeneity"	"Contigs"	"N50"	"GC_content"	"Size"	"Domain"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"	"Score"
"Gp_EAB_108"	1	0	0	15	"True"	97.91	0	0	53	104386	40.6	3182949	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Lactobacillales"	"f__Enterococcaceae"	"g__Enterococcus_D"	"s__Enterococcus_D gallinarum"	97.91
"Gp_EAB_109"	3	0	0	20	"True"	92.84	4.72	77.27	497	7893	26.9	2547213	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Clostridiales"	"f__Clostridiaceae"	"g__Clostridium"	"s__Clostridium sp900540255"	69.24
"Gp_EAB_11"	2	0	0	16	"True"	89.68	1.2	33.33	182	11692	39.6	1560512	"d__Bacteria"	"p__Bacillota_C"	"c__Negativicutes"	"o__Acidaminococcales"	"f__Acidaminococcaceae"	"g__Phascolarctobacterium_A"	"s__Phascolarctobacterium_A sp900544885"	83.68
"Gp_EAB_110"	2	0	0	21	"True"	77.07	1.72	100	277	24974	40.2	4971555	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Bacteroidaceae"	"g__Bacteroides"	"s__Bacteroides nordii"	68.47
"Gp_EAB_111"	2	0	0	19	"True"	84.34	3.42	87.5	474	5464	55.3	2179603	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Oscillospiraceae"	"g__Faecousia"	"s__Faecousia sp900549705"	67.24
"Gp_EAB_112"	1	0	0	12	"True"	93.17	2.43	57.14	108	17175	41.1	1389158	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Lactobacillales"	"f__Streptococcaceae"	"g__Streptococcus"	"s__Streptococcus alactolyticus"	81.02
"Gp_EAB_113"	0	0	0	14	"True"	87.4	1.45	100	297	8130	43.5	1748934	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Mediterraneibacter"	"s__Mediterraneibacter lactaris"	80.15
"Gp_EAB_114"	0	0	0	16	"True"	81	0.08	75	387	6217	45.5	1957681	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Blautia_A"	"s__Blautia_A massiliensis"	80.6
"Gp_EAB_115"	0	0	0	14	"True"	81.37	3.16	100	486	4574	49.7	1936435	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Clostridium_Q"	"s__Clostridium_Q fessum"	65.57
"Gp_EAB_116"	0	0	0	21	"True"	92.42	1.12	0	33	49164	25.3	1173188	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__RF39"	"f__UBA660"	"g__UBA6448"	"s__UBA6448 sp000437315"	86.82
"Gp_EAB_117"	1	0	0	16	"True"	90.46	3.41	42.86	257	10013	57.7	2039604	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Oscillospiraceae"	"g__Lawsonibacter"	"s__Lawsonibacter sp900066645"	73.41
"Gp_EAB_118"	1	0	0	10	"True"	56.53	1.81	0	220	4355	56.1	888665	"d__Bacteria"	"p__Actinomycetota"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Atopobiaceae"	"g__UBA7748"	"s__UBA7748 sp003862175"	47.48
"Gp_EAB_119"	1	0	0	13	"True"	86.51	1.57	80	162	14324	57.9	1642834	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Oscillospiraceae"	"g__Dysosmobacter"	"s__Dysosmobacter sp900542115"	78.66
"Gp_EAB_12"	3	0	0	22	"True"	89.54	3.23	50	347	8889	65.5	2232374	"d__Bacteria"	"p__Pseudomonadota"	"c__Gammaproteobacteria"	"o__Burkholderiales"	"f__Burkholderiaceae_A"	"g__Sutterella"	"s__Sutterella parvirubra"	73.39
"Gp_EAB_120"	0	0	0	18	"True"	81.35	3.08	85.71	628	5147	45.9	2778646	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Tannerellaceae"	"g__Parabacteroides"	"s__Parabacteroides merdae"	65.95
"Gp_EAB_121"	1	0	0	21	"False"	98.79	3.23	25	144	48005	61.7	2414613	"d__Bacteria"	"p__Actinomycetota"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Coriobacteriaceae"	"g__Collinsella"	"s__Collinsella sp900548365"	82.64
"Gp_EAB_122"	0	0	0	17	"True"	67.13	1.58	20	316	6120	57.6	1709541	"d__Bacteria"	"p__Actinomycetota"	"c__Actinomycetia"	"o__Mycobacteriales"	"f__Mycobacteriaceae"	"g__Corynebacterium"	"s__Corynebacterium durum"	59.23
"Gp_EAB_123"	0	0	0	15	"True"	66.3	1.75	100	133	25609	39.5	2036099	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Faecalimonas"	"s__"	57.55
"Gp_EAB_124"	2	0	0	17	"True"	65.52	1.72	100	656	7667	44	4079344	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Bacteroidaceae"	"g__Bacteroides"	"s__Bacteroides thetaiotaomicron"	56.92
"Gp_EAB_125"	0	0	0	17	"True"	82.64	3.97	87.5	247	6467	54.8	1304630	"d__Bacteria"	"p__Actinomycetota"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Eggerthellaceae"	"g__Anaerotardibacter"	"s__Anaerotardibacter sp000435675"	62.79
"Gp_EAB_126"	0	0	0	19	"True"	92.53	2.97	100	779	4868	37	2779044	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Lachnospira"	"s__Lachnospira sp000436535"	77.68
"Gp_EAB_127"	0	0	0	12	"False"	83.59	4.42	62.5	942	2887	37.9	2343605	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Anaerobutyricum"	"s__Anaerobutyricum soehngenii"	61.49
"Gp_EAB_128"	1	0	0	9	"True"	72.38	2.4	83.33	481	3082	60.5	1399446	"d__Bacteria"	"p__Actinomycetota"	"c__Actinomycetia"	"o__Actinomycetales"	"f__Micrococcaceae"	"g__Rothia"	"s__Rothia mucilaginosa_B"	60.38
"Gp_EAB_129"	0	0	0	11	"True"	66.71	0.88	100	311	8405	43.9	2033293	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Blautia_A"	"s__Blautia_A sp900548245"	62.31
"Gp_EAB_13"	0	0	1	19	"True"	92.17	0	0	22	112496	45.4	1676848	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__CAG-272"	"g__CAG-841"	"s__CAG-841 sp000437375"	92.17
"Gp_EAB_130"	2	0	0	17	"True"	78.3	2.69	40	543	6262	66.9	2708687	"d__Bacteria"	"p__Actinomycetota"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Eggerthellaceae"	"g__Gordonibacter"	"s__Gordonibacter urolithinfaciens"	64.85
"Gp_EAB_131"	0	0	0	22	"True"	81.46	2.81	0	38	72148	26.6	1223428	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__RF39"	"f__UBA660"	"g__Onthocola_B"	"s__Onthocola_B sp000438075"	67.41
"Gp_EAB_132"	2	0	0	19	"False"	97.45	1.6	100	284	11670	50.1	2393958	"d__Bacteria"	"p__Bacillota_C"	"c__Negativicutes"	"o__Veillonellales"	"f__Megasphaeraceae"	"g__Caecibacter"	"s__Caecibacter sp003467125"	89.45
"Gp_EAB_133"	4	0	0	21	"True"	93.96	1.17	66.67	221	14956	53.6	2213856	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Acutalibacteraceae"	"g__UBA1417"	"s__UBA1417 sp003531055"	88.11
"Gp_EAB_134"	1	1	0	18	"True"	92.7	2.25	0	66	22465	26	1071708	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__RF39"	"f__UBA660"	"g__Faecisoma"	"s__Faecisoma sp000432255"	81.45
"Gp_EAB_135"	1	0	0	21	"False"	78.57	7.88	58.82	1006	5222	43	3737686	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Bacteroidaceae"	"g__Bacteroides"	"s__Bacteroides finegoldii"	39.17
"Gp_EAB_136"	0	0	0	12	"True"	83.37	3.45	87.5	400	3819	48.1	1403978	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Peptostreptococcales"	"f__Anaerovoracaceae"	"g__Lentihominibacter"	"s__Lentihominibacter faecis"	66.12
"Gp_EAB_137"	5	0	0	7	"True"	94.77	5.41	93.75	1009	3367	28.6	2764540	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Peptostreptococcales"	"f__Peptostreptococcaceae"	"g__Intestinibacter"	"s__Intestinibacter bartlettii"	67.72
"Gp_EAB_138"	2	0	0	20	"True"	91.4	0.27	100	452	9823	43.6	3118980	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Marinifilaceae"	"g__Odoribacter"	"s__Odoribacter splanchnicus"	90.05
"Gp_EAB_139"	1	0	0	22	"True"	89.74	0.95	0	75	39061	32.1	1877436	"d__Bacteria"	"p__Cyanobacteriota"	"c__Vampirovibrionia"	"o__Gastranaerophilales"	"f__Gastranaerophilaceae"	"g__Zag111"	"s__Zag111 sp002103105"	84.99
"Gp_EAB_14"	1	0	0	5	"True"	54.94	0.62	100	132	8156	27.2	818330	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__TANB77"	"f__CAG-508"	"g__CAG-492"	"s__CAG-492 sp000434335"	51.84
"Gp_EAB_140"	0	0	0	18	"True"	92.33	3.59	85.71	328	12716	47	2900984	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Limivivens"	"s__Limivivens sp905214955"	74.38
"Gp_EAB_141"	6	0	0	9	"True"	91.75	1.41	50	141	34798	28.1	2869926	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Peptostreptococcales"	"f__Peptostreptococcaceae"	"g__GCA-900066495"	"s__GCA-900066495 sp902362365"	84.7
"Gp_EAB_142"	0	0	0	18	"True"	53.45	3.45	100	410	7281	29.1	2290544	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Clostridiales"	"f__Clostridiaceae"	"g__Clostridium"	"s__Clostridium sp000435835"	36.2
"Gp_EAB_143"	2	0	0	22	"True"	99.4	0	0	37	72440	50.3	2081832	"d__Bacteria"	"p__Bacillota_C"	"c__Negativicutes"	"o__Acidaminococcales"	"f__Acidaminococcaceae"	"g__Acidaminococcus"	"s__Acidaminococcus intestini"	99.4
"Gp_EAB_144"	2	0	0	19	"True"	66.89	3.39	69.23	323	6633	50.2	1705219	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Bacteroidaceae"	"g__UBA6398"	"s__UBA6398 sp900550635"	49.94
"Gp_EAB_146"	0	0	0	14	"True"	83.41	1.68	83.33	364	7229	46.1	2066858	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Choladocola"	"s__Choladocola sp003480725"	75.01
"Gp_EAB_147"	0	0	0	11	"True"	66.64	4.03	16.67	423	5821	43.8	2096948	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__CAG-882"	"s__CAG-882 sp003486385"	46.49
"Gp_EAB_148"	0	0	0	16	"True"	92.7	2.89	50	115	11284	24.1	879953	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__RF39"	"f__UBA660"	"g__CAG-611"	"s__CAG-611 sp000434175"	78.25
"Gp_EAB_149"	0	0	0	13	"True"	54.11	1.72	100	378	3092	63.2	1113934	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Oscillospiraceae"	"g__Vescimonas"	"s__Vescimonas sp003487665"	45.51
"Gp_EAB_15"	2	0	0	20	"True"	74.88	3.13	0	22	84906	26.7	1455474	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__TANB77"	"f__CAG-508"	"g__CAG-269"	"s__CAG-269 sp000437215"	59.23
"Gp_EAB_150"	1	0	0	21	"True"	84.98	1.13	75	179	17747	54.1	2084374	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__UBA932"	"g__Cryptobacteroides"	"s__Cryptobacteroides sp000431015"	79.33
"Gp_EAB_151"	0	0	0	16	"True"	72.83	1.01	50	432	7119	32.1	2294600	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Lachnospira"	"s__Lachnospira sp900551945"	67.78
"Gp_EAB_152"	1	0	0	17	"True"	73.18	1.96	100	478	3800	45	1654495	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Lactobacillales"	"f__Lactobacillaceae"	"g__Weissella"	"s__Weissella cibaria"	63.38
"Gp_EAB_153"	0	0	0	13	"True"	78.8	4.25	87.5	279	7220	46.4	1582115	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Ruminococcaceae"	"g__Negativibacillus"	"s__Negativibacillus massiliensis"	57.55
"Gp_EAB_154"	1	1	1	22	"True"	89.61	2.25	66.67	283	7688	26.8	1356305	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__RF39"	"f__UBA660"	"g__CAG-302"	"s__CAG-302 sp000431795"	78.36
"Gp_EAB_155"	2	0	0	16	"True"	76.61	1.76	33.33	302	10650	47.1	2474602	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Muribaculaceae"	"g__Limisoma"	"s__Limisoma sp900544305"	67.81
"Gp_EAB_156"	1	0	0	16	"True"	93.71	4.33	18.18	135	24759	61.6	2214312	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Oscillospiraceae"	"g__Lawsonibacter"	"s__Lawsonibacter sp900066825"	72.06
"Gp_EAB_157"	0	0	0	17	"True"	87.18	6.04	55.56	210	12946	62.7	1925380	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Oscillospiraceae"	"g__Vescimonas"	"s__Vescimonas sp900552475"	56.98
"Gp_EAB_158"	3	0	0	22	"True"	93.01	3.89	58.33	299	8364	44	1841561	"d__Bacteria"	"p__Bacillota_C"	"c__Negativicutes"	"o__Acidaminococcales"	"f__Acidaminococcaceae"	"g__Phascolarctobacterium"	"s__Phascolarctobacterium faecium"	73.56
"Gp_EAB_159"	3	0	0	22	"True"	97.1	1.34	50	196	23403	60.2	3087546	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Acutalibacteraceae"	"g__UMGS856"	"s__UMGS856 sp900546265"	90.4
"Gp_EAB_16"	1	0	2	23	"True"	93.88	6.13	76.92	862	4355	64.4	2849439	"d__Bacteria"	"p__Actinomycetota"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Eggerthellaceae"	"g__Eggerthella"	"s__Eggerthella lenta"	63.23
"Gp_EAB_160"	0	0	0	12	"True"	76.81	4.39	66.67	374	7206	43.3	2217731	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Eubacterium_I"	"s__Eubacterium_I ramulus_A"	54.86
"Gp_EAB_161"	0	0	0	16	"True"	93.74	3.38	22.22	219	19629	45.5	2970927	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Blautia_A"	"s__Blautia_A hydrogenotrophica"	76.84
"Gp_EAB_162"	0	5	10	19	"False"	80.74	4.62	52.94	1229	2100	55.8	2444901	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Oscillospiraceae"	"g__ER4"	"s__ER4 sp000765235"	57.64
"Gp_EAB_163"	0	1	0	16	"False"	96.79	2.21	83.33	489	5419	36.9	1929153	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Acutalibacteraceae"	"g__Eubacterium_R"	"s__Eubacterium_R sp000434995"	85.74
"Gp_EAB_164"	3	0	0	20	"True"	96.41	1.2	0	93	32467	54.7	2260617	"d__Bacteria"	"p__Bacillota_C"	"c__Negativicutes"	"o__Acidaminococcales"	"f__Acidaminococcaceae"	"g__Acidaminococcus"	"s__Acidaminococcus sp905215645"	90.41
"Gp_EAB_165"	3	1	0	13	"False"	98.51	1.32	33.33	108	118915	36.6	2445729	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Lactobacillales"	"f__Enterococcaceae"	"g__Enterococcus_E"	"s__Enterococcus_E cecorum"	91.91
"Gp_EAB_166"	1	0	0	18	"True"	85.38	6.68	72.73	314	7755	66.1	1980803	"d__Bacteria"	"p__Actinomycetota"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Eggerthellaceae"	"g__Aveggerthella"	"s__Aveggerthella excrementigallinarum"	51.98
"Gp_EAB_167"	1	0	0	17	"True"	80.15	3.26	50	243	12799	58	2232045	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Christensenellales"	"f__CAG-74"	"g__Ventricola"	"s__Ventricola sp900542445"	63.85
"Gp_EAB_168"	0	0	0	11	"True"	71.54	0.88	100	276	10814	43.9	2227529	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Blautia_A"	"s__Blautia_A sp900066505"	67.14
"Gp_EAB_169"	1	0	0	20	"True"	84.57	1.01	50	234	7037	47.2	1417344	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Acutalibacteraceae"	"g__UMGS1071"	"s__UMGS1071 sp934476545"	79.52
"Gp_EAB_17"	2	0	0	24	"True"	94.03	1.2	50	400	12180	65.6	3387626	"d__Bacteria"	"p__Actinomycetota"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__UMGS124"	"g__JAHZGC01"	"s__JAHZGC01 sp019421015"	88.03
"Gp_EAB_170"	0	0	0	14	"True"	73.12	1.01	66.67	298	7045	39.3	1561263	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Blautia"	"s__Blautia hansenii"	68.07
"Gp_EAB_171"	1	1	0	20	"True"	97.55	0.38	100	85	47600	39.5	2475387	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Muribaculaceae"	"g__Limisoma"	"s__Limisoma sp900541935"	95.65
"Gp_EAB_172"	1	0	0	17	"True"	76.17	0.37	100	188	28508	44.7	3436204	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Bacteroidaceae"	"g__Bacteroides"	"s__Bacteroides fragilis_A"	74.32
"Gp_EAB_173"	1	0	0	19	"True"	77.53	7.31	94.12	731	5726	42.5	3455445	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Marinifilaceae"	"g__Butyricimonas"	"s__Butyricimonas virosa"	40.98
"Gp_EAB_174"	2	0	0	15	"True"	96.92	1.19	33.33	150	18312	36.8	1811469	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Lactobacillales"	"f__Streptococcaceae"	"g__Streptococcus"	"s__Streptococcus mutans"	90.97
"Gp_EAB_175"	1	0	0	17	"True"	87.71	1.92	53.85	447	9720	42.6	3359306	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Bacteroidaceae"	"g__Bacteroides"	"s__Bacteroides caccae"	78.11
"Gp_EAB_176"	0	0	0	21	"True"	92.97	0.46	66.67	155	20459	60.2	1991593	"d__Bacteria"	"p__Actinomycetota"	"c__Actinomycetia"	"o__Actinomycetales"	"f__Bifidobacteriaceae"	"g__Bifidobacterium"	"s__Bifidobacterium longum"	90.67
"Gp_EAB_177"	1	0	1	20	"True"	91.94	0.81	100	118	23305	50.6	1841313	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Christensenellales"	"f__Borkfalkiaceae"	"g__UBA7597"	"s__UBA7597 sp900542935"	87.89
"Gp_EAB_178"	0	0	0	13	"True"	61.1	0.87	50	404	7609	45.3	2559612	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Bacteroidaceae"	"g__Bacteroides"	"s__Bacteroides fragilis"	56.75
"Gp_EAB_179"	5	0	0	20	"True"	95.13	0.32	100	48	48021	51	1719031	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Lactobacillales"	"f__Lactobacillaceae"	"g__Lactobacillus"	"s__Lactobacillus delbrueckii_B"	93.53
"Gp_EAB_18"	0	0	0	8	"True"	70.62	1.7	25	465	4381	55.4	1794925	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Oscillospiraceae"	"g__HGM13006"	"s__HGM13006 sp900757695"	62.12
"Gp_EAB_180"	0	0	0	17	"True"	77.97	2.33	40	155	9307	28.3	1108419	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__TANB77"	"f__CAG-508"	"g__CAG-452"	"s__CAG-452 sp000434035"	66.32
"Gp_EAB_181"	1	0	0	16	"True"	72.21	2.91	75	149	10162	30	1148462	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__TANB77"	"f__CAG-508"	"g__CAG-245"	"s__CAG-245 sp000434195"	57.66
"Gp_EAB_182"	0	0	0	14	"True"	68.05	2.23	33.33	846	5829	47.8	4126790	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Blautia"	"s__Blautia sp001304935"	56.9
"Gp_EAB_183"	0	0	0	20	"True"	96.23	2.43	33.33	352	8760	60.8	2419543	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Rikenellaceae"	"g__Alistipes"	"s__Alistipes communis"	84.08
"Gp_EAB_184"	0	0	0	19	"True"	96.97	3.8	90.91	355	9998	53.4	2591160	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Copromonas"	"s__Copromonas sp000435795"	77.97
"Gp_EAB_185"	0	0	0	11	"True"	58.07	3.45	100	247	5454	37.8	1146557	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Lactobacillales"	"f__Streptococcaceae"	"g__Streptococcus"	"s__Streptococcus pasteurianus"	40.82
"Gp_EAB_186"	0	0	0	13	"False"	60.89	1.5	80	349	4922	48.5	1471151	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Acetatifactor"	"s__Acetatifactor sp900066565"	53.39
"Gp_EAB_187"	0	0	0	14	"True"	86.93	0.69	100	257	12927	42.9	2405201	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Blautia_A"	"s__Blautia_A sp900551465"	83.48
"Gp_EAB_188"	2	0	0	21	"True"	97.32	0.02	100	39	65462	42.8	1786571	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Acutalibacteraceae"	"g__Fimenecus"	"s__Fimenecus sp004556705"	97.22
"Gp_EAB_189"	4	0	0	16	"True"	58.62	3.45	100	378	5927	43.8	1889496	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Bacteroidaceae"	"g__Prevotella"	"s__Prevotella hominis"	41.37
"Gp_EAB_19"	0	0	0	8	"True"	89.91	5.7	68.18	305	7164	38.3	1744622	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Lactobacillales"	"f__Streptococcaceae"	"g__Lactococcus"	"s__Lactococcus petauri"	61.41
