MAGID	SampleName	Age	Total	EggNOG	Unknow5
Sg_A02_25	A02	49	2327	2152	150
Sg_A02_26	A02	49	1949	1768	40
Sg_A02_27	A02	49	2544	2418	222
Sg_A02_28	A02	49	1935	1839	66
Sg_A02_29	A02	49	2052	1980	114
Sg_A02_2	A02	49	2136	1855	80
Sg_A02_30	A02	49	1290	965	44
Sg_A02_31	A02	49	2055	1953	113
Sg_A02_32	A02	49	1923	1830	83
Sg_A02_33	A02	49	2684	2313	99
Sg_A02_34	A02	49	1990	1798	71
Sg_A02_35	A02	49	2128	1915	121
Sg_A02_36	A02	49	1647	1543	99
Sg_A02_37	A02	49	2344	2165	90
Sg_A02_38	A02	49	1901	1679	40
Sg_A02_39	A02	49	2573	2151	130
Sg_A02_3	A02	49	1471	1383	63
Sg_A02_40	A02	49	2489	2242	168
Sg_A02_41	A02	49	2317	2227	225
Sg_A02_42	A02	49	1712	1532	58
Sg_A02_43	A02	49	2739	2531	209
Sg_A02_44	A02	49	2093	1773	62
Sg_A02_45	A02	49	2406	2218	241
Sg_A02_4	A02	49	1599	1440	112
Sg_A02_5	A02	49	2331	2200	122
Sg_A02_6	A02	49	2158	1942	96
Sg_A02_7	A02	49	2729	2499	260
Sg_A02_8	A02	49	1553	1487	83
Sg_A02_9	A02	49	3102	2983	158
Sg_A04_10	A04	65	1705	1611	61
Sg_A04_11	A04	65	1911	1836	95
Sg_A04_12	A04	65	1833	1784	63
Sg_A04_13	A04	65	1881	1790	70
Sg_A04_14	A04	65	1837	1757	127
Sg_A04_15	A04	65	1354	1021	33
Sg_A04_16	A04	65	2086	1839	90
Sg_A04_17	A04	65	2130	2001	94
Sg_A04_18	A04	65	2160	2038	108
Sg_A04_19	A04	65	2594	2362	307
Sg_A04_1	A04	65	1542	1380	64
Sg_A04_20	A04	65	1962	1864	114
Sg_A04_21	A04	65	1224	1158	71
Sg_A04_22	A04	65	1580	1472	79
Sg_A04_23	A04	65	2014	1933	167
Sg_A04_24	A04	65	1714	1612	73
Sg_A04_25	A04	65	1878	1741	77
Sg_A04_26	A04	65	2078	2040	101
Sg_A04_27	A04	65	2120	1994	96
Sg_A04_28	A04	65	1534	1454	59
Sg_A04_29	A04	65	1845	1714	58
Sg_A04_2	A04	65	2495	2402	116
Sg_A04_30	A04	65	1958	1891	134
Sg_A04_31	A04	65	1805	1713	74
Sg_A04_32	A04	65	1834	1608	68
Sg_A04_33	A04	65	2454	2054	103
Sg_A04_34	A04	65	1248	1162	44
Sg_A04_3	A04	65	2578	2346	206
Sg_A04_4	A04	65	2057	1983	92
Sg_A04_5	A04	65	1763	1500	80
Sg_A04_6	A04	65	1395	1326	48
Sg_A04_7	A04	65	2359	2211	110
Sg_A04_8	A04	65	1284	946	28
Sg_A04_9	A04	65	2003	1930	157
Sg_A07_10	A07	101	1402	1326	78
Sg_A07_11	A07	101	1846	1774	81
Sg_A07_12	A07	101	3634	3319	347
Sg_A07_13	A07	101	3215	3022	254
Sg_A07_14	A07	101	1967	1782	87
Sg_A07_15	A07	101	3296	3077	243
Sg_A07_16	A07	101	3635	3452	192
Sg_A07_17	A07	101	1887	1809	106
Sg_A07_18	A07	101	1933	1781	51
Sg_A07_19	A07	101	1694	1573	49
Sg_A07_1	A07	101	4253	4203	94
Sg_A07_20	A07	101	3126	2732	242
Sg_A07_21	A07	101	2905	2751	196
Sg_A07_22	A07	101	2373	2153	112
Sg_A07_23	A07	101	2344	2230	109
Sg_A07_24	A07	101	1715	1630	66
Sg_A07_25	A07	101	1701	1483	92
Sg_A07_26	A07	101	1750	1692	109
Sg_A07_27	A07	101	2099	1892	121
Sg_A07_28	A07	101	2257	2159	133
Sg_A07_29	A07	101	2571	2394	139
Sg_A07_2	A07	101	3627	3526	281
Sg_A07_30	A07	101	2541	2376	135
Sg_A07_31	A07	101	2453	2318	88
Sg_A07_32	A07	101	3141	2781	244
Sg_A07_33	A07	101	2311	1978	69
Sg_A07_34	A07	101	2042	1870	91
Sg_A07_35	A07	101	3047	2821	188
Sg_A07_36	A07	101	1728	1634	46
Sg_A07_37	A07	101	2944	2733	214
Sg_A07_39	A07	101	2087	1930	102
Sg_A07_3	A07	101	1805	1701	83
Sg_A07_40	A07	101	2709	2458	315
Sg_A07_41	A07	101	2087	1970	159
Sg_A07_42	A07	101	2227	2133	231
Sg_A07_43	A07	101	1905	1785	114
Sg_A07_44	A07	101	1776	1605	51
Sg_A07_45	A07	101	2092	1913	99
Sg_A07_46	A07	101	2197	1992	201
Sg_A07_47	A07	101	2180	1935	120
Sg_A07_48	A07	101	2387	2267	131
Sg_A07_49	A07	101	2670	2503	126
Sg_A07_4	A07	101	2017	1865	96
Sg_A07_50	A07	101	1955	1767	75
Sg_A07_51	A07	101	2345	2182	148
Sg_A07_52	A07	101	1190	947	17
Sg_A07_53	A07	101	1606	1548	50
Sg_A07_5	A07	101	2874	2743	220
Sg_A07_6	A07	101	2287	2105	93
Sg_A07_7	A07	101	2512	2357	165
Sg_A07_8	A07	101	2147	1972	76
Sg_A07_9	A07	101	2353	2097	136
Sg_A09_10	A09	101	2065	1898	112
Sg_A09_11	A09	101	1388	1158	41
Sg_A09_12	A09	101	2548	2316	79
Sg_A09_13	A09	101	1770	1653	146
Sg_A09_14	A09	101	1385	981	41
Sg_A09_15	A09	101	2698	2612	166
Sg_A09_16	A09	101	2384	2151	117
Sg_A09_17	A09	101	2837	2736	106
Sg_A09_18	A09	101	2502	2068	146
Sg_A09_19	A09	101	1383	1030	40
Sg_A09_1	A09	101	3522	3297	325
Sg_A09_20	A09	101	1765	1510	81
Sg_A09_21	A09	101	1729	1583	78
Sg_A09_22	A09	101	6192	6062	505
Sg_A09_23	A09	101	2105	1921	112
Sg_A09_24	A09	101	1950	1850	107
Sg_A09_25	A09	101	1938	1820	101
Sg_A09_26	A09	101	3997	3669	269
Sg_A09_27	A09	101	2875	2752	103
Sg_A09_28	A09	101	3814	3657	287
Sg_A09_29	A09	101	2359	2150	83
Sg_A09_2	A09	101	1384	1206	19
Sg_A09_30	A09	101	1680	1584	54
Sg_A09_31	A09	101	1149	873	29
Sg_A09_32	A09	101	2715	2498	195
Sg_A09_33	A09	101	2235	2008	128
Sg_A09_34	A09	101	1874	1633	76
Sg_A09_35	A09	101	2456	2206	138
Sg_A09_36	A09	101	2094	1911	133
Sg_A09_37	A09	101	5421	5281	330
Sg_A09_38	A09	101	4158	3895	357
Sg_A09_39	A09	101	2520	2336	205
Sg_A09_3	A09	101	1985	1907	161
Sg_A09_40	A09	101	2661	2567	133
Sg_A09_41	A09	101	1833	1649	61
Sg_A09_42	A09	101	1631	1507	63
Sg_A09_43	A09	101	4180	4111	149
Sg_A09_44	A09	101	2253	2107	120
Sg_A09_45	A09	101	2847	2782	190
Sg_A09_46	A09	101	2049	1929	109
Sg_A09_47	A09	101	2681	2518	207
Sg_A09_48	A09	101	1373	1109	52
Sg_A09_49	A09	101	3152	2885	215
Sg_A09_4	A09	101	1341	974	48
Sg_A09_50	A09	101	3868	3649	220
Sg_A09_5	A09	101	1739	1580	60
Sg_A09_6	A09	101	1724	1580	106
Sg_A09_7	A09	101	1509	1372	44
Sg_A09_8	A09	101	2130	1981	101
Sg_A09_9	A09	101	2120	2057	109
Sg_A11_10	A11	104	2468	2332	134
Sg_A11_11	A11	104	2500	2389	114
Sg_A11_12	A11	104	4580	4483	187
Sg_A11_13	A11	104	2241	2139	126
Sg_A11_14	A11	104	2768	2654	133
Sg_A11_15	A11	104	2040	1985	51
Sg_A11_16	A11	104	1553	1460	81
Sg_A11_17	A11	104	1593	1502	96
Sg_A11_18	A11	104	2409	2294	191
Sg_A11_19	A11	104	1833	1626	104
Sg_A11_1	A11	104	2466	2312	192
Sg_A11_20	A11	104	3659	3303	285
Sg_A11_21	A11	104	2622	2499	163
Sg_A11_22	A11	104	1809	1788	46
Sg_A11_23	A11	104	2944	2682	123
Sg_A11_24	A11	104	1859	1816	144
Sg_A11_25	A11	104	2694	2360	102
Sg_A11_26	A11	104	2227	2149	68
Sg_A11_27	A11	104	2427	2305	169
Sg_A11_28	A11	104	1720	1578	89
Sg_A11_29	A11	104	1983	1865	90
Sg_A11_2	A11	104	4450	4383	172
Sg_A11_30	A11	104	2462	2377	137
Sg_A11_31	A11	104	2241	2166	63
Sg_A11_32	A11	104	2586	2485	106
Sg_A11_33	A11	104	2216	2121	111
Sg_A11_34	A11	104	3307	3172	152
Sg_A11_35	A11	104	3271	2767	251
Sg_A11_36	A11	104	2593	2454	90
Sg_A11_37	A11	104	2930	2586	144
Sg_A11_38	A11	104	2097	1989	89
Sg_A11_39	A11	104	2691	2458	145
Sg_A11_3	A11	104	1338	1262	55
Sg_A11_40	A11	104	2180	2108	131
Sg_A11_41	A11	104	2018	1953	67
Sg_A11_42	A11	104	3228	2985	174
Sg_A11_43	A11	104	2886	2696	128
Sg_A11_44	A11	104	2168	1977	123
Sg_A11_45	A11	104	2530	2399	138
Sg_A11_46	A11	104	1803	1640	101
Sg_A11_47	A11	104	2518	2345	174
Sg_A11_48	A11	104	4075	3974	131
Sg_A11_49	A11	104	2412	2155	112
Sg_A11_4	A11	104	1453	1412	44
Sg_A11_50	A11	104	3111	2946	253
Sg_A11_51	A11	104	2477	2334	253
Sg_A11_52	A11	104	2831	2741	152
Sg_A11_53	A11	104	2494	2440	110
Sg_A11_54	A11	104	3766	3646	261
Sg_A11_55	A11	104	1093	1018	42
Sg_A11_56	A11	104	1809	1610	57
Sg_A11_57	A11	104	3252	3133	141
Sg_A11_58	A11	104	2181	2051	119
Sg_A11_59	A11	104	1758	1649	67
Sg_A11_5	A11	104	2487	2247	122
Sg_A11_60	A11	104	1784	1711	81
Sg_A11_61	A11	104	2168	2036	77
Sg_A11_62	A11	104	1896	1792	72
Sg_A11_63	A11	104	1917	1812	98
Sg_A11_64	A11	104	2535	2447	123
Sg_A11_65	A11	104	2448	2277	127
Sg_A11_66	A11	104	1806	1712	63
Sg_A11_67	A11	104	2561	2256	134
Sg_A11_68	A11	104	2403	2302	134
Sg_A11_69	A11	104	2085	1945	88
Sg_A11_6	A11	104	3638	3422	370
Sg_A11_70	A11	104	1768	1616	75
Sg_A11_71	A11	104	3635	3223	282
Sg_A11_72	A11	104	2621	2399	122
Sg_A11_7	A11	104	2199	2053	116
Sg_A11_8	A11	104	2054	1988	70
Sg_A12_10	A12	67	2102	1917	91
Sg_A12_11	A12	67	2591	2370	103
Sg_A12_12	A12	67	2455	2381	228
Sg_A12_13	A12	67	2707	2583	136
Sg_A12_14	A12	67	3705	3465	296
Sg_A12_15	A12	67	2243	2189	100
Sg_A12_16	A12	67	1945	1740	102
Sg_A12_17	A12	67	2051	1983	91
Sg_A12_19	A12	67	1617	1509	82
Sg_A12_1	A12	67	2312	2160	135
Sg_A12_20	A12	67	1950	1879	125
Sg_A12_21	A12	67	2418	2327	86
Sg_A12_22	A12	67	3522	3494	49
Sg_A12_23	A12	67	2282	2080	181
Sg_A12_24	A12	67	1752	1571	49
Sg_A12_25	A12	67	1698	1652	76
Sg_A12_26	A12	67	2537	2345	156
Sg_A12_27	A12	67	1853	1738	95
Sg_A12_28	A12	67	2169	2030	102
Sg_A12_29	A12	67	2348	2077	123
Sg_A12_2	A12	67	2283	2109	97
Sg_A12_30	A12	67	2243	2004	128
Sg_A12_31	A12	67	2054	1918	98
Sg_A12_32	A12	67	1798	1764	81
Sg_A12_33	A12	67	3090	2773	247
Sg_A12_34	A12	67	1114	1103	35
Sg_A12_35	A12	67	1542	1454	77
Sg_A12_36	A12	67	1470	1400	90
Sg_A12_37	A12	67	2597	2298	159
Sg_A12_38	A12	67	2239	2147	132
Sg_A12_39	A12	67	1875	1728	131
Sg_A12_3	A12	67	2220	1980	111
Sg_A12_40	A12	67	2009	1871	106
Sg_A12_41	A12	67	1808	1755	76
Sg_A12_43	A12	67	1936	1857	109
Sg_A12_44	A12	67	1274	1188	60
Sg_A12_45	A12	67	1756	1718	110
Sg_A12_46	A12	67	1906	1729	70
Sg_A12_47	A12	67	1579	1493	55
Sg_A12_48	A12	67	2625	2458	85
Sg_A12_49	A12	67	2300	2135	127
Sg_A12_4	A12	67	1925	1897	50
Sg_A12_50	A12	67	1948	1884	103
Sg_A12_51	A12	67	2478	2409	159
Sg_A12_52	A12	67	1806	1649	112
Sg_A12_53	A12	67	2428	2319	110
Sg_A12_55	A12	67	2494	2336	129
Sg_A12_56	A12	67	1778	1731	108
Sg_A12_57	A12	67	1599	1452	129
Sg_A12_58	A12	67	3445	3251	344
Sg_A12_59	A12	67	2446	2362	103
Sg_A12_5	A12	67	2311	2220	157
Sg_A12_60	A12	67	1968	1796	69
Sg_A12_6	A12	67	1997	1861	107
Sg_A12_7	A12	67	1604	1521	71
Sg_A12_8	A12	67	1644	1518	47
Sg_A12_9	A12	67	2294	2164	120
Sg_A13_10	A13	102	2134	2042	158
Sg_A13_11	A13	102	1579	1474	83
Sg_A13_12	A13	102	1640	1532	92
Sg_A13_13	A13	102	1880	1675	81
Sg_A13_14	A13	102	1167	1101	45
Sg_A13_15	A13	102	1709	1617	73
Sg_A13_16	A13	102	2251	2044	116
Sg_A13_17	A13	102	1973	1862	91
Sg_A13_18	A13	102	2386	2245	130
Sg_A13_19	A13	102	2029	1849	46
Sg_A13_1	A13	102	1877	1665	66
Sg_A13_20	A13	102	2274	2080	93
Sg_A13_21	A13	102	1715	1617	66
Sg_A13_22	A13	102	2106	1988	100
Sg_A13_23	A13	102	1818	1714	48
Sg_A13_24	A13	102	2538	2255	81
Sg_A13_25	A13	102	4628	4568	69
Sg_A13_26	A13	102	2272	2023	62
Sg_A13_27	A13	102	1693	1611	82
Sg_A13_2	A13	102	1649	1482	66
Sg_A13_30	A13	102	1715	1389	36
Sg_A13_31	A13	102	1376	1316	88
Sg_A13_32	A13	102	2742	2568	169
Sg_A13_33	A13	102	1824	1745	69
Sg_A13_34	A13	102	1687	1543	81
Sg_A13_35	A13	102	1459	1342	53
Sg_A13_36	A13	102	1406	1317	51
Sg_A13_37	A13	102	2069	1913	75
Sg_A13_38	A13	102	1566	1324	21
Sg_A13_39	A13	102	1988	1594	53
Sg_A13_3	A13	102	2527	2406	250
Sg_A13_40	A13	102	1501	1348	51
Sg_A13_41	A13	102	3200	3164	44
Sg_A13_42	A13	102	1839	1750	113
Sg_A13_43	A13	102	1452	1392	79
Sg_A13_44	A13	102	1850	1745	135
Sg_A13_45	A13	102	1503	1423	61
Sg_A13_46	A13	102	1669	1528	45
Sg_A13_47	A13	102	2089	1969	126
Sg_A13_48	A13	102	1980	1843	172
Sg_A13_49	A13	102	1899	1761	68
Sg_A13_4	A13	102	2394	2011	158
Sg_A13_51	A13	102	959	818	20
Sg_A13_5	A13	102	2515	2421	95
Sg_A13_6	A13	102	1661	1496	65
Sg_A13_7	A13	102	2599	2319	98
Sg_A13_8	A13	102	2860	2577	73
Sg_A13_9	A13	102	1925	1647	78
Sg_A15_10	A15	101	2587	2371	79
Sg_A15_11	A15	101	2134	1934	95
Sg_A15_12	A15	101	895	853	48
Sg_A15_13	A15	101	2839	2328	54
Sg_A15_14	A15	101	3083	2981	183
Sg_A15_15	A15	101	2152	1869	134
Sg_A15_16	A15	101	3113	2838	180
Sg_A15_17	A15	101	1702	1537	83
Sg_A15_18	A15	101	2114	1953	169
Sg_A15_19	A15	101	2102	2005	108
Sg_A15_1	A15	101	1825	1732	86
Sg_A15_20	A15	101	2057	1787	113
Sg_A15_21	A15	101	3630	3359	308
Sg_A15_22	A15	101	2036	1966	174
Sg_A15_23	A15	101	1392	1122	65
Sg_A15_24	A15	101	1347	986	39
Sg_A15_25	A15	101	2256	2130	93
Sg_A15_26	A15	101	1331	1169	22
Sg_A15_27	A15	101	2465	2315	144
Sg_A15_28	A15	101	2411	2334	150
Sg_A15_29	A15	101	2707	2531	141
Sg_A15_2	A15	101	1754	1599	68
Sg_A15_30	A15	101	2498	2346	159
Sg_A15_31	A15	101	1941	1826	94
Sg_A15_32	A15	101	1759	1698	104
Sg_A15_33	A15	101	2272	2142	134
Sg_A15_34	A15	101	2023	1938	144
Sg_A15_35	A15	101	1578	1476	51
Sg_A15_36	A15	101	1737	1630	90
Sg_A15_37	A15	101	3926	3686	202
Sg_A15_38	A15	101	1302	1262	72
Sg_A15_3	A15	101	2412	2170	67
Sg_A15_4	A15	101	1720	1581	52
Sg_A15_5	A15	101	1533	1442	60
Sg_A15_6	A15	101	1743	1658	68
Sg_A15_7	A15	101	5169	5061	158
Sg_A15_8	A15	101	1715	1610	99
Sg_A15_9	A15	101	2940	2785	103
Sg_A17_10	A17	100	2159	1986	122
Sg_A17_11	A17	100	2622	2313	154
Sg_A17_12	A17	100	1785	1663	88
Sg_A17_13	A17	100	1827	1784	58
Sg_A17_14	A17	100	1999	1835	79
Sg_A17_15	A17	100	1951	1844	125
Sg_A17_16	A17	100	4488	4312	375
Sg_A17_17	A17	100	2812	2713	160
Sg_A17_18	A17	100	2103	1974	81
Sg_A17_19	A17	100	3160	3061	176
Sg_A17_1	A17	100	3312	3267	71
Sg_A17_21	A17	100	2525	2406	166
Sg_A17_22	A17	100	3886	3679	387
Sg_A17_23	A17	100	3666	3422	225
Sg_A17_24	A17	100	1975	1869	106
Sg_A17_25	A17	100	1891	1770	110
Sg_A17_26	A17	100	3305	3180	264
Sg_A17_27	A17	100	3244	2977	271
Sg_A17_28	A17	100	2388	2212	141
Sg_A17_29	A17	100	3502	3426	210
Sg_A17_2	A17	100	1660	1544	51
Sg_A17_30	A17	100	3968	3810	255
Sg_A17_31	A17	100	1814	1735	147
Sg_A17_32	A17	100	1792	1451	74
Sg_A17_3	A17	100	3078	2847	201
Sg_A17_4	A17	100	1664	1627	74
Sg_A17_5	A17	100	2947	2885	53
Sg_A17_6	A17	100	1704	1599	72
Sg_A17_7	A17	100	1783	1652	80
Sg_A17_8	A17	100	2494	2323	166
Sg_A17_9	A17	100	1539	1425	64
Sg_A18_10	A18	61	3373	3235	266
Sg_A18_11	A18	61	2248	2134	95
Sg_A18_12	A18	61	2017	1911	81
Sg_A18_13	A18	61	2223	2038	150
Sg_A18_14	A18	61	1835	1734	76
Sg_A18_15	A18	61	1798	1636	118
Sg_A18_16	A18	61	4252	3997	256
Sg_A18_17	A18	61	2101	1972	97
Sg_A18_18	A18	61	2789	2583	212
Sg_A18_19	A18	61	1824	1723	75
Sg_A18_1	A18	61	1969	1755	48
Sg_A18_20	A18	61	1402	1304	71
Sg_A18_21	A18	61	2603	2411	271
Sg_A18_22	A18	61	1968	1874	136
Sg_A18_23	A18	61	3371	3141	260
Sg_A18_24	A18	61	1691	1523	38
Sg_A18_25	A18	61	2920	2749	107
Sg_A18_26	A18	61	1969	1874	128
Sg_A18_27	A18	61	1888	1779	76
Sg_A18_28	A18	61	2082	1968	104
Sg_A18_29	A18	61	1472	1400	75
Sg_A18_2	A18	61	1650	1553	55
Sg_A18_30	A18	61	1899	1706	41
Sg_A18_31	A18	61	1924	1773	73
Sg_A18_32	A18	61	2470	2362	209
Sg_A18_33	A18	61	1612	1469	59
Sg_A18_34	A18	61	1714	1662	62
Sg_A18_35	A18	61	1790	1684	86
Sg_A18_36	A18	61	2609	2520	190
Sg_A18_37	A18	61	2212	1975	132
Sg_A18_38	A18	61	2386	2091	56
Sg_A18_39	A18	61	2321	1949	147
Sg_A18_3	A18	61	4531	4485	75
Sg_A18_40	A18	61	1996	1723	106
Sg_A18_41	A18	61	1529	1450	104
Sg_A18_42	A18	61	2233	2110	111
Sg_A18_43	A18	61	2203	2118	117
Sg_A18_44	A18	61	3566	3521	45
Sg_A18_45	A18	61	1562	1479	94
Sg_A18_46	A18	61	1879	1776	68
Sg_A18_4	A18	61	1579	1477	65
Sg_A18_6	A18	61	1826	1739	73
Sg_A18_7	A18	61	1911	1755	113
Sg_A18_8	A18	61	1751	1663	82
Sg_A18_9	A18	61	1249	1119	27
Sg_A19_10	A19	101	5873	5732	393
Sg_A19_11	A19	101	1777	1713	68
Sg_A19_12	A19	101	2196	2131	106
Sg_A19_13	A19	101	3269	3118	266
Sg_A19_14	A19	101	3425	3166	273
Sg_A19_15	A19	101	1800	1595	90
Sg_A19_16	A19	101	1940	1792	75
Sg_A19_17	A19	101	1858	1687	173
Sg_A19_18	A19	101	2139	2026	108
Sg_A19_19	A19	101	2109	2006	122
Sg_A19_1	A19	101	2300	1943	147
Sg_A19_20	A19	101	1625	1458	41
Sg_A19_21	A19	101	1648	1480	57
Sg_A19_22	A19	101	2802	2519	94
Sg_A19_23	A19	101	2028	1869	108
Sg_A19_24	A19	101	3511	3259	269
Sg_A19_25	A19	101	2248	2129	89
Sg_A19_26	A19	101	2217	1980	54
Sg_A19_27	A19	101	2110	2009	162
Sg_A19_28	A19	101	2736	2645	163
Sg_A19_29	A19	101	2631	2461	224
Sg_A19_2	A19	101	3309	3195	185
Sg_A19_30	A19	101	3272	3007	167
Sg_A19_31	A19	101	2188	1970	76
Sg_A19_32	A19	101	2212	2016	55
Sg_A19_33	A19	101	1971	1791	91
Sg_A19_34	A19	101	2638	2468	148
Sg_A19_35	A19	101	2537	2438	103
Sg_A19_36	A19	101	2556	2490	167
Sg_A19_37	A19	101	2676	2324	186
Sg_A19_38	A19	101	3054	2913	170
Sg_A19_39	A19	101	2554	2376	139
Sg_A19_3	A19	101	2436	2192	72
Sg_A19_40	A19	101	1938	1904	72
Sg_A19_41	A19	101	4556	4486	152
Sg_A19_42	A19	101	4785	4463	499
Sg_A19_43	A19	101	2287	2240	138
Sg_A19_44	A19	101	2034	1932	128
Sg_A19_45	A19	101	2437	2266	114
Sg_A19_46	A19	101	1574	1459	130
Sg_A19_47	A19	101	3578	3378	373
Sg_A19_48	A19	101	3187	3040	146
Sg_A19_49	A19	101	2059	1936	128
Sg_A19_4	A19	101	3333	3090	170
Sg_A19_50	A19	101	2128	1919	68
Sg_A19_51	A19	101	5556	5402	369
Sg_A19_52	A19	101	1471	1379	25
Sg_A19_53	A19	101	2241	2111	68
Sg_A19_54	A19	101	1919	1742	106
Sg_A19_55	A19	101	1933	1882	53
Sg_A19_56	A19	101	1285	1235	65
Sg_A19_57	A19	101	1769	1703	113
Sg_A19_5	A19	101	2295	2200	219
Sg_A19_6	A19	101	1900	1808	108
Sg_A19_7	A19	101	1729	1599	71
Sg_A19_8	A19	101	1614	1536	44
Sg_A19_9	A19	101	2174	2024	98
Sg_A20_10	A20	61	1394	1150	53
Sg_A20_11	A20	61	2708	2335	137
Sg_A20_12	A20	61	2671	2565	186
Sg_A20_13	A20	61	2496	2059	145
Sg_A20_14	A20	61	1918	1771	73
Sg_A20_15	A20	61	2231	2049	115
Sg_A20_16	A20	61	1140	1079	43
Sg_A20_17	A20	61	2748	2615	163
Sg_A20_18	A20	61	2074	2018	119
Sg_A20_19	A20	61	2702	2594	137
Sg_A20_1	A20	61	2680	2404	169
Sg_A20_20	A20	61	2446	2296	185
Sg_A20_21	A20	61	2299	2083	128
Sg_A20_22	A20	61	2529	2390	177
Sg_A20_23	A20	61	1990	1801	148
Sg_A20_24	A20	61	2109	1890	145
Sg_A20_25	A20	61	1470	1377	70
Sg_A20_26	A20	61	1967	1824	112
Sg_A20_27	A20	61	4717	4667	70
Sg_A20_28	A20	61	2044	1855	95
Sg_A20_29	A20	61	1849	1679	171
Sg_A20_2	A20	61	2155	1949	119
Sg_A20_30	A20	61	3936	3739	177
Sg_A20_31	A20	61	1387	967	44
Sg_A20_32	A20	61	2118	2006	144
Sg_A20_33	A20	61	2249	2006	152
Sg_A20_34	A20	61	686	523	9
Sg_A20_35	A20	61	2218	2016	128
Sg_A20_36	A20	61	2312	2203	147
Sg_A20_37	A20	61	4644	4555	145
Sg_A20_38	A20	61	2396	2233	168
Sg_A20_39	A20	61	1555	1200	72
Sg_A20_3	A20	61	2415	2307	103
Sg_A20_40	A20	61	2038	2006	116
Sg_A20_41	A20	61	2082	2049	88
Sg_A20_42	A20	61	1988	1764	91
Sg_A20_43	A20	61	1632	1502	44
Sg_A20_44	A20	61	2626	2480	132
Sg_A20_45	A20	61	3018	2850	217
Sg_A20_46	A20	61	1669	1530	45
Sg_A20_47	A20	61	2335	2240	203
Sg_A20_48	A20	61	1832	1723	82
Sg_A20_49	A20	61	2527	2340	135
Sg_A20_4	A20	61	1737	1571	54
Sg_A20_50	A20	61	2302	2100	109
Sg_A20_52	A20	61	2147	2025	152
Sg_A20_53	A20	61	3645	3477	291
Sg_A20_54	A20	61	1935	1774	104
Sg_A20_55	A20	61	2040	1820	89
Sg_A20_56	A20	61	1549	1375	60
Sg_A20_57	A20	61	1931	1614	62
Sg_A20_58	A20	61	1510	1301	42
Sg_A20_59	A20	61	2292	2158	117
Sg_A20_5	A20	61	2792	2652	165
Sg_A20_6	A20	61	1953	1904	86
Sg_A20_7	A20	61	2250	2062	167
Sg_A20_8	A20	61	2462	2307	154
